name,ivy_league,education,networth,birthYear
Edward J. DeBartolo Jr.,False,['University of Notre Dame'],2.7E9,1946
Edward Johnson III,False,"['Milton Academy', 'Tabor Academy (Massachusetts)']",7.5E9,1930
Edward P. Roski,False,"['University of Southern California', 'Bachelor of Science']",4.0E9,1938
Edward W. Stack,False,['St. John Fisher College'],1.15E9,1955
Edwin Davies,False,['Farnworth Grammar School'],100.0,1946
Edwin Soeryadjaya,False,['University of Southern California'],1.0,1949
Eike Batista,False,['RWTH Aachen University'],9.0E8,1956
Elaine Wynn,False,['George Washington University'],1.2E9,1942
Eli Broad,False,['Michigan State University'],7.4E9,1933
Eliodoro Matte,False,"['Booth School of Business', 'Pontifical Catholic University of Chile']",2.7E9,1945
Elizabeth Holmes,False,['Stanford University'],3.6E9,1984
Elizabeth Noyce,False,['Tufts University'],1.0E8,1930
Ellis Short,False,['Missouri University of Science and Technology'],2.4E9,1960
Elon Musk,False,"['Pretoria Boys High School', 'Waterkloof House Preparatory School']",1.07E10,1971
Emil Hurezeanu,False,"['University of Virginia', 'Boston University', 'Babeș-Bolyai University', 'Master of Arts']",6.0,1955
Emilio Azcárraga Jean,False,"['Universidad Iberoamericana', 'Lakefield College School']",2.0E9,1968
Emilio Botín,False,['University of Deusto'],1.1E9,1934
Emmanuel Besnier,False,"[""Lycée_de_l'Immaculée-Conception""]",6.7E9,1970
Enrique K. Razon,False,"['De La Salle University', 'Business administration']",5.5E9,1960
Eric Lefkofsky,False,['University of Michigan'],1.7E9,1969
Eric R. George,False,"['Michigan State University', 'Marshall University']",2.25E8,1963
Eric Trump,False,"['Georgetown University', 'The Hill School', 'Trinity School (New York City)']",1.5E8,1984
Erick Thohir,False,"['Glendale Community College (California)', 'National University (California)']",9.6E8,1970
Erol Sabancı,False,['Harris Manchester College Oxford'],1.3E9,1938
Eugene Kaspersky,False,"['Moscow State University', 'Institute of Cryptography Telecommunications and Computer Science']",1.04E9,1965
Eugene Shvidler,False,"['Fordham University', 'Gubkin Russian State University of Oil and Gas']",1.2E9,1964
Evan Spiegel,False,['Stanford University'],2.1E9,1990
Evelyn Robert de Rothschild,False,"['Trinity College Cambridge', 'Harrow School']",2.0E10,1931
Francois-Xavier Souvay,False,['HEC Montréal'],1.15E8,1970
